section	virtual_address	name
Functions	0x42c160	config_set_value_
Functions	0x42c190	config_set_values_
Functions	0x42c280	config_load_
Functions	0x42c324	config_save_
Functions	0x42c4bc	config_parse_line_
Functions	0x42c594	config_split_line_
Functions	0x42c638	config_add_section_
Functions	0x42c698	config_strip_white_space_
Functions	0x42c718	config_get_double_
Functions	0x42c74c	config_set_double_
Functions	0x42c790	counter_on_
Functions	0x42c7d4	counter_off_
Functions	0x42c7f4	counter_
Functions	0x42c860	credits_
Functions	0x42ce6c	credits_get_next_line_
Functions	0x42cf50	critter_init_
Functions	0x42cfe4	critter_reset_
Functions	0x42d004	critter_exit_
Functions	0x42d01c	critter_load_
Functions	0x42d058	critter_save_
Functions	0x42d094	critter_copy_
Functions	0x42d0a8	critter_name_
Functions	0x42d138	critter_pc_set_name_
Functions	0x42d170	critter_pc_reset_name_
Functions	0x42d18c	critter_get_hits_
Functions	0x42d1a4	critter_adjust_hits_
Functions	0x42d1f8	critter_get_poison_
Functions	0x42d210	critter_adjust_poison_
Functions	0x42d318	critter_check_poison_
Functions	0x42d38c	critter_get_rads_
Functions	0x42d3a4	critter_adjust_rads_
Functions	0x42d4f4	critter_check_rads_
Functions	0x42d618	get_rad_damage_level_
Functions	0x42d624	clear_rad_damage_
Functions	0x42d63c	process_rads_
Functions	0x42d740	critter_process_rads_
Functions	0x42d7a0	critter_load_rads_
Functions	0x42d7fc	critter_save_rads_
Functions	0x42d82c	critter_get_base_damage_type_
Functions	0x42d860	critter_kill_count_clear_
Functions	0x42d878	critter_kill_count_inc_
Functions	0x42d8a8	critter_kill_count_
Functions	0x42d8c0	critter_kill_count_load_
Functions	0x42d8f0	critter_kill_count_save_
Functions	0x42d920	critter_kill_count_type_
Functions	0x42d974	critter_kill_name_
Functions	0x42d9b4	critter_kill_info_
Functions	0x42d9f4	critter_heal_hours_
Functions	0x42da54	critterClearObjDrugs_
Functions	0x42da64	critter_kill_
Functions	0x42dcb8	critter_kill_exps_
Functions	0x42dcdc	critter_is_active_
Functions	0x42dd18	critter_is_dead_
Functions	0x42dd58	critter_is_crippled_
Functions	0x42dd80	critter_is_prone_
Functions	0x42ddc4	critter_body_type_
Functions	0x42de10	critter_load_data_
Functions	0x42de58	pc_load_data_
Functions	0x42df70	critter_read_data_
Functions	0x42e044	critter_save_data_
Functions	0x42e08c	pc_save_data_
Functions	0x42e174	critter_write_data_
Functions	0x42e220	pc_flag_off_
Functions	0x42e26c	pc_flag_on_
Functions	0x42e2b0	pc_flag_toggle_
Functions	0x42e2f8	is_pc_flag_
Functions	0x42e32c	critter_sneak_check_
Functions	0x42e3e4	critter_sneak_clear_
Functions	0x42e3f4	is_pc_sneak_working_
Functions	0x42e424	critter_wake_up_
Functions	0x42e460	critter_wake_clear_
Functions	0x42e4c0	critter_set_who_hit_me_
Functions	0x42e564	critter_can_obj_dude_rest_
Functions	0x42e62c	critter_compute_ap_from_distance_
Functions	0x42e66c	critterIsOverloaded_
Functions	0x42e690	critter_is_fleeing_
Functions	0x42e6ac	critter_flag_check_
Functions	0x42e6f0	critter_flag_set_
Functions	0x42e71c	critter_flag_unset_
Functions	0x42e74c	critter_flag_toggle_
Functions	0x42e780	cycle_init_
Functions	0x42e8cc	cycle_reset_
Functions	0x42e90c	cycle_exit_
Functions	0x42e930	cycle_disable_
Functions	0x42e93c	cycle_enable_
Functions	0x42e948	cycle_is_enabled_
Functions	0x42e950	change_cycle_speed_
Functions	0x42e974	get_cycle_speed_
Functions	0x42e97c	cycle_colors_
Functions	0x42ee70	defaultMangleName_
Functions	0x42ee74	datafileSetFilenameFunc_
Functions	0x42ee7c	setBitmapLoadFunc_
Functions	0x42ee84	datafileConvertData_
Functions	0x42eef8	datafileConvertDataVGA_
Functions	0x42ef60	loadRawDataFile_
Functions	0x42efcc	loadDataFile_
Functions	0x42eff4	load256Palette_
Functions	0x42f024	trimBuffer_
Functions	0x42f0e4	datafileGetPalette_
Functions	0x42f0ec	datafileLoadBlock_
Functions	0x42f170	dialogRegisterOptionCallback_
Functions	0x42f178	replyAddNew_
Functions	0x42f434	getReply_
Functions	0x42f4c0	replyAddOption_
Functions	0x42f624	replyAddOptionProc_
Functions	0x42f714	optionFree_
Functions	0x42f754	replyFree_
Functions	0x42f858	addWindow_
Functions	0x42f928	windowTitleMessage_
Functions	0x42fb94	endDialog_
Functions	0x42fbfc	findEnding_
Functions	0x42fc58	wordWrap_
Functions	0x42fc70	printLine_
Functions	0x42fcf0	printStr_
Functions	0x42fd84	windowDrawLines_
Functions	0x430074	doReply_
Functions	0x430104	abortReply_
Functions	0x430180	endReply_
Functions	0x4301e8	drawStr_
Functions	0x430268	doOptions_
Functions	0x430a34	tryMovie_
Functions	0x430a38	tryCombine_
Functions	0x430a94	executeReply_
Functions	0x430b38	executeOption_
Functions	0x430cec	doDialog_
Functions	0x430d40	dialogStart_
Functions	0x430db8	dialogRestart_
Functions	0x430de4	dialogGotoReply_
Functions	0x430e84	dialogTitle_
Functions	0x430efc	dialogReply_
Functions	0x430f04	dialogOption_
Functions	0x430f38	dialogOptionProc_
Functions	0x430f6c	dialogOptionUserData_
Functions	0x430fa0	dialogOptionProcUserData_
Functions	0x430fd4	dialogMessage_
Functions	0x431088	dialogGo_
Functions	0x431184	dialogGetExitPoint_
Functions	0x431198	dialogQuit_
Functions	0x4311b8	dialogSetOptionWindow_
Functions	0x4311e0	dialogSetReplyWindow_
Functions	0x431208	dialogSetBorder_
Functions	0x431218	dialogSetScrollUp_
Functions	0x4312c0	dialogSetScrollDown_
Functions	0x431368	dialogSetSpacing_
Functions	0x431370	dialogSetOptionColor_
Functions	0x4313c8	dialogSetReplyColor_
Functions	0x431420	dialogSetOptionFlags_
Functions	0x431430	initDialog_
Functions	0x431434	dialogClose_
Functions	0x431518	dialogGetDialogDepth_
Functions	0x431520	dialogRegisterWinDrawCallbacks_
Functions	0x431530	dialogToggleMediaFlag_
Functions	0x431554	dialogGetMediaFlag_
Functions	0x431560	GetFreeDiskSpace_
Functions	0x431610	display_init_
Functions	0x431800	display_reset_
Functions	0x43184c	display_exit_
Functions	0x43186c	display_print_
Functions	0x431a2c	display_clear_
Functions	0x431a78	display_redraw_
Functions	0x431b70	display_scroll_up_
Functions	0x431b9c	display_scroll_down_
Functions	0x431bc8	display_arrow_up_
Functions	0x431bd4	display_arrow_down_
Functions	0x431be0	display_arrow_restore_
Functions	0x431bec	display_disable_
Functions	0x431c14	display_enable_
Functions	0x431c40	_grph_id
Functions	0x431d08	_copyflag
Functions	0x431d3a	_ndrvd
Functions	0x431d50	_StatYpos
Functions	0x431d6c	_ndinfoxlt
Functions	0x431d80	a@_
Functions	0x431df8	editor_design_
Functions	0x4329ec	CharEditStart_
Functions	0x433aa8	CharEditEnd_
Functions	0x433bec	RstrBckgProc_
Functions	0x433c0c	CharEditInit_
Functions	0x433c6c	get_input_str_
Functions	0x434060	isdoschar_
Functions	0x4340d0	strmfe_
Functions	0x43410c	DrawFolder_
Functions	0x434238	list_perks_
Functions	0x434498	kills_list_comp_
Functions	0x4344a4	ListKills_
Functions	0x4345dc	PrintBigNum_
Functions	0x434920	PrintLevelWin_
Functions	0x434b38	PrintBasicStat_
Functions	0x434f18	PrintGender_
Functions	0x43501c	PrintAgeBig_
Functions	0x435118	PrintBigname_
Functions	0x43527c	ListDrvdStats_
Functions	0x436154	ListSkills_
Functions	0x4365ac	DrawInfoWin_
Functions	0x436c4c	NameWindow_
Functions	0x436f70	PrintName_
Functions	0x436fec	AgeWindow_
Functions	0x437664	SexWindow_
Functions	0x4379bc	StatButton_
Functions	0x437c08	OptionWindow_
Functions	0x4390b4	db_access_
Functions	0x4390d0	Save_as_ASCII_
Functions	0x43a4bc	ResetScreen_
Functions	0x43a55c	AddSpaces_
Functions	0x43a58c	AddDots_
Functions	0x43a5bc	RegInfoAreas_
